GeneID	KO_ID
Sco14g11270.1	calmodulin
Sco04g03070.1	Chromosome 10 open reading frame 67
Sco04g03880.1	Phytanoyl-CoA dioxygenase (PhyH)
Sco05g04690.1	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
Sco11g08120.1	phosphatase
Sco11g08120.1	 non-receptor type
Sco12g11180.1	peptide-O-fucosyltransferase activity
Sco11g02790.1	Phosphomevalonate kinase
Sco05g04980.1	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
Sco01g05410.1	Ran GTPase binding
Sco14g11690.1	Leucine Rich repeat
Sco08g08110.1	carboxylic ester hydrolase activity
Sco12g05010.1	branchiomeric skeletal muscle development
Sco15g04530.1	hydroxymethylbilane synthase activity
Sco15g00690.1	Belongs to the mitochondrial carrier (TC 2.A.29) family
Sco12g10180.1	laminin subunit
Sco17g19140.1	UPF0544 protein C5orf45 homolog
Sco05g01920.1	PA domain
Sco05g12330.1	-
Sco01g02170.1	Helix-turn-helix of DDE superfamily endonuclease
Sco07g04000.1	dimethylaminohydrolase 1
Sco11g05910.1	negative regulation of heat generation
Sco12g12690.1	Belongs to the G-protein coupled receptor 1 family
Sco14g12120.1	deacylase 1
Sco16g08960.1	RAB29
Sco16g08960.1	 member RAS oncogene family
Sco16g14230.1	PDZ domain binding
Sco14g18170.1	-
Sco02g03310.1	Heat shock 70 kDa protein 12A-like
Sco04g00620.1	motile cilium assembly
Sco16g04230.1	Thrombospondin type 1 repeats
Sco16g02200.1	helix-turn-helix
Sco16g02200.1	 Psq domain
Sco15g05780.1	It is involved in the biological process described with
Sco14g17530.1	Polymerase (DNA-directed)
Sco14g17530.1	 epsilon 4
Sco14g17530.1	 accessory subunit
Sco16g00520.1	Belongs to the protein kinase superfamily
Sco12g07410.1	DNA binding
Sco14g16330.1	armadillo repeat domain binding
Sco09g05100.1	Animal haem peroxidase
Sco16g00620.1	regulation of replicative cell aging
Sco17g19930.1	protein side chain deglutamylation
Sco06g12880.1	heme binding
Sco02g03860.1	glycerate dehydrogenase activity
Sco12g08640.1	LMBR1-like membrane protein
Sco07g01180.1	tetrahydrofolylpolyglutamate synthase activity
Sco06g09860.1	Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine
Sco17g13300.1	neural precursor cell proliferation
Sco16g07170.1	A Receptor for Ubiquitination Targets
Sco14g13430.1	ATPase activity
Sco14g13430.1	 coupled to transmembrane movement of substances
Sco19g03340.1	Brachyury
Sco03g00480.1	metal ion binding
Sco02g04430.1	intermembrane lipid transfer activity
Sco02g01390.1	Zinc-binding domain
Sco08g03870.1	methylated histone binding
Sco10g06940.1	ABC-2 type transporter
Sco02g01620.1	Forkhead-associated (FHA) phosphopeptide binding domain 1
Sco03g04780.1	DDE superfamily endonuclease
Sco04g06010.1	-
Sco16g12570.1	caveola assembly
Sco17g07720.1	Zn_pept
Sco01g04310.1	G-protein coupled receptor activity
Sco17g10010.1	Belongs to the membrane-bound acyltransferase family
Sco17g17490.1	Pleckstrin homology domain.
Sco07g05390.1	Catalytic subunit of the queuine tRNA-ribosyltransferase (TGT) that catalyzes the base-exchange of a guanine (G) residue with queuine (Q) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp
Sco07g05390.1	 -Asn
Sco07g05390.1	 -His and -Tyr)
Sco07g05390.1	 resulting in the hypermodified nucleoside queuosine (7-(((4
Sco07g05390.1	5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA
Sco07g05390.1	 forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming queuine
Sco07g05390.1	 allowing a nucleophilic attack on the C1' of the ribose to form the product
Sco16g03200.1	PR domain zinc finger protein 14
Sco04g09890.1	positive regulation of TOR signaling
Sco11g02510.1	NADH dehydrogenase (ubiquinone) Fe-S protein 4
Sco11g02510.1	 (NADH-coenzyme Q reductase)
Sco12g12670.1	RNA binding
Sco15g06990.1	protein processing
Sco10g01800.1	Crisp
Sco14g10640.1	Domain of unknown function (DUF4764)
Sco14g16600.1	DNA-binding transcription factor activity
Sco14g16600.1	 RNA polymerase II-specific
Sco04g00280.1	Methyltransferase FkbM domain
Sco06g12490.1	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
Sco05g05140.1	zinc ion binding
Sco14g08570.1	cell redox homeostasis
Sco13g09020.1	cyclic nucleotide-gated ion channel activity
Sco11g00490.1	7 transmembrane receptor (rhodopsin family)
Sco04g01170.1	solute carrier family 4
Sco04g01170.1	 sodium bicarbonate
Sco10g05550.1	Domain of unknown function (DUF4371)
Sco13g02940.1	gamma-aminobutyric acid:sodium symporter activity
Sco11g11980.1	Thrombospondin type 1 repeats
Sco02g06230.1	Trifunctional purine biosynthetic protein
Sco17g05820.1	regulation of cellular senescence
Sco07g06340.1	protein heterodimerization activity
Sco16g10430.1	RNA splicing
Sco16g10430.1	 via transesterification reactions with bulged adenosine as nucleophile
Sco07g06060.1	regulation of acid-sensing ion channel activity
Sco07g07100.1	-
Sco17g02410.1	tubulin binding
Sco02g01540.1	nucleolar complex associated 2 homolog (S. cerevisiae)
Sco03g11580.1	lytic vacuole organization
Sco10g08700.1	Poly(U)-specific
Sco19g03400.1	phosphatase 6
Sco19g03400.1	 regulatory subunit
Sco19g16020.1	neurotransmitter:sodium symporter activity
Sco03g03440.1	importin-alpha family protein binding
Sco13g08530.1	ATP-dependent DNA helicase RecQ
Sco17g12170.1	-
Sco12g00530.1	regulation of heterochromatin assembly
Sco08g05820.1	mediolateral intercalation
Sco06g11300.1	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Sco05g03600.1	major facilitator superfamily
Sco13g12760.1	Vacuolar protein sorting-associated protein 37A
Sco15g06460.1	organic anion transmembrane transporter activity
Sco14g03840.1	Apoptosis
Sco14g03840.1	 caspase activation inhibitor
Sco15g08330.1	regulation of protein catabolic process
Sco18g08650.1	phosphatidylinositol binding
Sco03g08200.1	L-alpha-amino acid transmembrane transport
Sco08g08590.1	DDE superfamily endonuclease
Sco11g08160.1	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity
Sco06g00910.1	Jerky protein homolog-like
Sco19g07820.1	DDE superfamily endonuclease
Sco17g19110.1	endoribonuclease activity
Sco17g19110.1	 cleaving siRNA-paired mRNA
Sco10g00550.1	Ankyrin repeat domain-containing protein 54
Sco12g07320.1	D-amino-acid oxidase
Sco02g04300.1	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Sco01g02230.1	regulation of alternative mRNA splicing
Sco01g02230.1	 via spliceosome
Sco03g01370.1	Zinc finger MYM-type protein
Sco13g14340.1	MULE transposase domain
Sco11g03820.1	sulfotransferase activity
Sco04g08760.1	nuclease activity
Sco15g07000.1	SWI SNF related
Sco15g07000.1	 matrix associated
Sco15g07000.1	 actin dependent regulator of chromatin
Sco15g07000.1	 subfamily c
Sco15g07000.1	 member 2
Sco19g05240.1	YrdC domain-containing protein
Sco01g09040.1	cytochrome P450
Sco17g07300.1	thymidine kinase activity
Sco16g12550.1	FYVE
Sco16g12550.1	 RhoGEF and PH
Sco17g10060.1	intermediate chain 2
Sco17g07240.1	F-box LRR-repeat protein
Sco01g04900.1	YqaJ-like viral recombinase domain
Sco02g05690.1	metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Sco08g01960.1	Major Facilitator Superfamily
Sco19g15040.1	Ferric-chelate reductase 1
Sco11g00230.1	Solute carrier family 17 (vesicular glutamate transporter)
Sco11g00230.1	 member 7
Sco19g11690.1	Phenylalanine hydroxylase
Sco17g19300.1	Domain of unknown function (DUF4149)
Sco12g10280.1	Transcription factor
Sco06g00710.1	voltage-gated potassium channel activity
Sco10g06760.1	Dual specificity phosphatase 11 (RNA RNP complex 1-interacting)
Sco07g07480.1	DNA-binding transcription factor activity
Sco15g05720.1	microtubule motor activity
Sco14g03850.1	calmodulin
Sco17g12060.1	Regulatory associated protein of MTOR complex 1
Sco11g02670.1	-
Sco17g00080.1	Chondroitin sulfate N-acetylgalactosaminyltransferase
Sco06g04670.1	Argininosuccinate
Sco07g10610.1	SNAP receptor activity
Sco03g05120.1	inorganic diphosphatase activity
Sco11g01450.1	Belongs to the peptidase S16 family
Sco08g08790.1	Bacterial protein of unknown function (DUF885)
Sco04g06180.1	MAP kinase kinase kinase activity
Sco10g00610.1	ribosome biogenesis
Sco06g07100.1	smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation
Sco15g03820.1	complex subunit 13
Sco17g04930.1	-
Sco14g16370.1	Domain present in VPS9
Sco10g01690.1	Belongs to the G-protein coupled receptor 1 family
Sco09g03910.1	Belongs to the G-protein coupled receptor 1 family
Sco04g01600.1	UPF0415 protein C7orf25 homolog
Sco17g01420.1	ATP binding
Sco13g15450.1	Actin binding. It is involved in the biological process described with cellular component organization
Sco04g03310.1	Grap2 and cyclin-D-interacting
Sco07g08160.1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Sco11g01320.1	regulation of lipid metabolic process
Sco10g02690.1	Ribosomal protein S24e
Sco17g20400.1	Coiled-coil domain-containing protein 60
Sco19g11560.1	Arylsulfatase
Sco17g14790.1	chitinase activity
Sco12g07770.1	gamma-catenin binding
Sco03g06200.1	Ubiquitin homologues
Sco03g03460.1	zinc finger
Sco17g09720.1	-
Sco06g10970.1	mitogen-activated protein kinase kinase binding
Sco17g19710.1	EF-hand domain
Sco16g04280.1	-
Sco10g06510.1	Complement Clr-like EGF-like
Sco19g05710.1	microtubule anchoring
Sco19g07340.1	Transposase IS4
Sco09g04190.1	Vasopressin receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Sco05g02180.1	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Sco12g13700.1	Serpentine type 7TM GPCR chemoreceptor Srx
Sco08g07340.1	Splicing factor 3a
Sco08g07340.1	 subunit
Sco08g01700.1	acyl-CoA dehydrogenase
Sco15g04010.1	nucleic acid binding
Sco08g00080.1	acetyl-CoA hydrolase activity
Sco04g06310.1	Peptidase family S51
Sco18g07990.1	Protein tyrosine phosphatase
Sco18g07990.1	 receptor type
Sco18g07990.1	 K
Sco19g00680.1	neuromedin U receptor activity
Sco01g05270.1	orotate phosphoribosyltransferase activity
Sco01g07480.1	Protein phosphatase inhibitor activity. It is involved in the biological process described with regulation of signal transduction
Sco15g01900.1	protein transcription factor alpha subunit
Sco05g01350.1	NOSIC (NUC001) domain
Sco14g17830.1	-
Sco12g10420.1	Sulfotransferase activity
Sco17g11100.1	cilium movement involved in cell motility
Sco13g02380.1	Belongs to the peptidase C2 family
Sco07g08400.1	Carboxylesterase family
Sco13g00310.1	protein kinase A binding
Sco14g07960.1	7 transmembrane sweet-taste receptor of 3 GCPR
Sco17g11140.1	Cupin superfamily protein
Sco18g09340.1	-
Sco14g04980.1	Translation initiation factor
Sco09g03960.1	lipoprotein receptor-related protein
Sco16g02510.1	Coiled-coil domain-containing protein 162-like
Sco16g09960.1	membrane depolarization during action potential
Sco14g04920.1	Belongs to the AAA ATPase family
Sco03g09270.1	Ubiquinone biosynthesis protein COQ9
Sco03g05260.1	Pleckstrin homology domain containing
Sco03g05260.1	 family G (with RhoGef domain) member
Sco01g10630.1	Flavin-binding monooxygenase-like
Sco06g03840.1	protein KIAA1841 homolog
Sco10g08380.1	MORN repeat containing 2
Sco16g12290.1	G-protein coupled receptor activity
Sco03g08820.1	spectrin binding
Sco03g12870.1	glucan metabolic process
Sco12g09080.1	GRIP domain
Sco11g08640.1	ubiquitin-conjugating enzyme
Sco08g07230.1	neurotransmitter:sodium symporter activity
Sco16g11760.1	U3 snoRNA binding
Sco11g10640.1	collagen
Sco06g03230.1	leukotriene C4 gamma-glutamyl transferase activity
Sco08g09700.1	Retinol binding protein receptor
Sco12g08970.1	negative regulation of growth hormone receptor signaling pathway
Sco07g00130.1	histone H4-K20 monomethylation
Sco09g00310.1	Cathepsin propeptide inhibitor domain (I29)
Sco18g08490.1	peptidoglycan binding
Sco02g09410.1	NEUZ
Sco06g07110.1	dCMP deaminase activity
Sco17g19610.1	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1
Sco17g19610.1	6-bisphosphate by ATP
Sco17g19610.1	 the first committing step of glycolysis
Sco08g06250.1	F-box-like WD repeat-containing protein
Sco19g07590.1	Transmembrane protein 242
Sco14g16510.1	Notch ligand involved in the mediation of Notch signaling
Sco15g12690.1	methyltransferase activity
Sco17g12580.1	rRNA binding
Sco17g02250.1	propionate transmembrane transporter activity
Sco03g00010.1	protein-glutamine gamma-glutamyltransferase activity
Sco17g00780.1	Ubiquitin-conjugating enzyme
Sco16g12950.1	Protein of unknown function (DUF667)
Sco16g12190.1	Voltage-dependent calcium channel subunit alpha-2 delta-4
Sco01g08100.1	aldo-keto reductase family 1
Sco01g08100.1	 member
Sco18g09130.1	Transposase IS4
Sco01g00590.1	regulation of nucleic acid-templated transcription
Sco19g03920.1	extracellular ligand-gated ion channel activity
Sco01g02220.1	Uncharacterized conserved protein (DUF2152)
Sco08g02370.1	7 transmembrane receptor (rhodopsin family)
Sco17g06730.1	ribosomal protein S9
Sco14g16860.1	optic lobe placode development
Sco16g13530.1	PET Domain
Sco09g02890.1	Receptor for oxytocin. The activity of this receptor is mediated by G proteins which activate a phosphatidylinositol- calcium second messenger system
Sco08g00280.1	maintenance of mitotic sister chromatid cohesion
Sco08g00280.1	 centromeric
Sco01g07620.1	Nuclear receptor ROR-beta-like isoform X1
Sco01g07700.1	Uncharacterised protein family (UPF0203)
Sco07g08080.1	purine nucleosidase activity
Sco13g12090.1	nucleotide-binding oligomerization domain containing 1 signaling pathway
Sco08g04590.1	It is involved in the biological process described with transmembrane transport
Sco15g03700.1	gamma-glutamylaminecyclotransferase activity
Sco16g06240.1	Complement component 1
Sco16g06240.1	 q subcomponent-like 4
Sco19g13450.1	inhibition of cysteine-type endopeptidase activity involved in apoptotic process
Sco17g08090.1	serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
Sco06g08940.1	Receptor for ATP that acts as a ligand-gated ion channel
Sco17g07710.1	RNA polymerase I general transcription initiation factor activity
Sco02g08660.1	NADP-retinol dehydrogenase activity
Sco16g11830.1	Protein phosphatase
Sco16g11830.1	 Mg2 Mn2 dependent 1H
Sco15g10420.1	Si ch211-161h7.5
Sco04g07030.1	positive regulation of rRNA processing
Sco11g05350.1	-
Sco12g09850.1	L-fuconate dehydratase activity
Sco04g04810.1	amide hydrolase
Sco02g04550.1	Orange domain
Sco14g02680.1	3'-tyrosyl-DNA phosphodiesterase activity
Sco07g04010.1	Common central domain of tyrosinase
Sco05g00290.1	Legume-like lectin family
Sco17g17380.1	serine threonine-protein kinase
Sco03g03210.1	histidine ammonia-lyase activity
Sco06g04450.1	Belongs to the ubiquitin-conjugating enzyme family
Sco03g07060.1	alkaline phosphatase activity
Sco14g12550.1	Autophagy protein Atg8 ubiquitin like
Sco16g10710.1	Belongs to the MCM family
Sco06g01500.1	zinc ion binding
Sco09g01290.1	protein modification by small protein conjugation
Sco12g15530.1	negative regulation of mitochondrial fusion
Sco01g08950.1	It is involved in the biological process described with transmembrane transport
Sco19g00790.1	Beta-ketoacyl synthase
Sco04g08730.1	transmembrane transport
Sco05g07880.1	BTB/POZ domain
Sco05g08430.1	Homeodomain
Sco18g08390.1	DNA binding
Sco14g01980.1	GTP 3'
Sco14g01980.1	8'-cyclase activity
Sco00g00036.1	Peptide methionine sulfoxide reductase
Sco06g09420.1	Intracellular orphan receptor that binds numerous drugs and which is highly expressed in various proliferating cells. Corresponds to the sigma-2 receptor
Sco06g09420.1	 which is thought to play important role in regulating cell survival
Sco06g09420.1	 morphology and differentiation. May play a role as a regulator of cellular cholesterol homeostasis. May function as sterol isomerase. May alter the activity of some cytochrome P450 proteins
Sco19g06380.1	tctex1 domain-containing protein
Sco06g07890.1	Small acidic protein family
Sco06g02400.1	cytochrome P450
Sco14g09740.1	Transcription factor IIA
Sco14g09740.1	 alpha/beta subunit
Sco11g10440.1	factor 1
Sco12g04080.1	Zinc finger domain in CG10631
Sco12g04080.1	 C. elegans LIN-15B and human P52rIPK.
Sco15g09850.1	Ribonuclease H protein
Sco04g01300.1	sodium-dependent L-ascorbate transmembrane transporter activity
Sco13g08200.1	Glycosyltransferase family 10 (fucosyltransferase) C-term
Sco17g01760.1	nucleolus organization
Sco15g11320.1	It is involved in the biological process described with
Sco07g08130.1	Type III restriction enzyme
Sco07g08130.1	 res subunit
Sco15g00280.1	MFS_1 like family
Sco05g05600.1	negative regulation of vascular smooth muscle contraction
Sco10g02900.1	Translocase of outer mitochondrial membrane 22 homolog (yeast)
Sco06g01660.1	It is involved in the biological process described with signal transduction
Sco16g11810.1	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Sco03g06120.1	Disrupted in renal carcinoma
Sco11g11340.1	peptidoglycan-binding domain-containing protein 3
Sco05g00280.1	-
Sco10g02380.1	heavy chain
Sco06g06160.1	ADP catabolic process
Sco19g04640.1	In Between Ring fingers
Sco12g13120.1	alpha-tubulin binding
Sco02g00440.1	guanylate cyclase activity
Sco13g10080.1	X-prolyl aminopeptidase (aminopeptidase P) 3
Sco17g20680.1	It is involved in the biological process described with phosphatidylserine biosynthetic process
Sco15g07840.1	GATA zinc finger
Sco16g13290.1	transcription corepressor activity
Sco10g00640.1	transferase activity
Sco19g12240.1	osmolarity-sensing cation channel activity
Sco13g16430.1	DDE superfamily endonuclease
Sco02g04290.1	nuclear inner membrane organization
Sco05g10360.1	-
Sco06g04100.1	Ribonuclease H protein
Sco14g16850.1	EF-hand domain
Sco15g05300.1	PTB domain-containing engulfment adapter protein
Sco12g08450.1	MAP kinase-interacting serine threonine-protein kinase
Sco17g08500.1	GTP binding
Sco17g06890.1	Essential meiotic endonuclease 1 homolog 1 (S. pombe)
Sco16g05920.1	-
Sco04g00900.1	lipid catabolic process
Sco14g01460.1	Cell growth regulator with RING finger domain
Sco19g02540.1	regulation of phosphorylation of RNA polymerase II C-terminal domain
Sco02g09630.1	ATPase activity
Sco02g09630.1	 coupled to transmembrane movement of substances
Sco11g03880.1	Ceroid-lipofuscinosis neuronal
Sco19g13160.1	Putative DNA-binding domain in centromere protein B
Sco19g13160.1	 mouse jerky and transposases.
Sco13g09330.1	Receptor-type tyrosine-protein phosphatase
Sco14g17860.1	ubiquitin-specific protease binding
Sco17g11720.1	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Sco13g00280.1	regulation of hippo signaling
Sco15g11120.1	RNA binding motif protein 4.2
Sco14g03960.1	-
Sco19g14220.1	magnesium ion binding
Sco10g02590.1	enoyl-CoA delta isomerase 1
Sco07g03300.1	Specifically binds 5-hydroxymethylcytosine (5hmC)- containing DNA in stem cells
Sco07g03300.1	 suggesting that it acts as a specific reader of 5hmC in stem cells. May act as a peptidase
Sco07g08020.1	7 transmembrane receptor (rhodopsin family)
Sco03g08960.1	cellular response to calcium ion
Sco19g06670.1	cytoplasmic sequestering of CFTR protein
Sco10g03210.1	meiotic sister chromatid cohesion
Sco10g03210.1	 centromeric
Sco12g15190.1	DNA-directed 5'-3' RNA polymerase activity
Sco17g10380.1	inorganic diphosphatase activity
Sco12g12480.1	Nucleoredoxin-like 2
Sco06g03860.1	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Sco02g04640.1	Fumarase C-terminus
Sco11g12500.1	lysosome localization
Sco19g08370.1	Acyl transferase domain in polyketide synthase (PKS) enzymes.
Sco15g07400.1	Fas apoptotic inhibitory molecule
Sco07g02450.1	C2 domain
Sco05g04590.1	negative regulation of gluconeogenesis
Sco03g07280.1	ribosomal protein L38
Sco06g11470.1	-
Sco08g08370.1	Ras-related C3 botulinum toxin substrate
Sco13g15290.1	D-isomer specific 2-hydroxyacid dehydrogenase catalytic
Sco03g04750.1	inhibitor epsilon
Sco06g10150.1	Protein of unknown function (DUF3105)
Sco19g13480.1	Protein kinase C conserved region 2 (CalB)
Sco12g12600.1	zinc finger
Sco12g12600.1	 DHHC-type containing 21
Sco14g05010.1	Belongs to the cyclin family
Sco15g12500.1	1-acyl-2-lysophosphatidylserine acylhydrolase activity
Sco17g05800.1	positive regulation of cartilage development
Sco15g00580.1	voltage-gated potassium channel activity
Sco05g07550.1	Neurotransmitter-gated ion-channel ligand binding domain
Sco13g12120.1	LON peptidase N-terminal domain and RING finger
Sco19g04080.1	Bile acid-CoA amino acid
Sco17g05660.1	Belongs to the ubiquitin-conjugating enzyme family
Sco06g11270.1	DNA-binding transcription factor activity
Sco06g11270.1	 RNA polymerase II-specific
Sco07g02200.1	FK506 binding protein 15
Sco17g05170.1	DNA repair and recombination protein
Sco14g05300.1	endodermal-mesodermal cell signaling
Sco14g08860.1	DnaJ molecular chaperone homology domain
Sco18g02020.1	Fumarylacetoacetase
Sco01g03710.1	-
Sco06g09620.1	Transducin beta-like
Sco15g03750.1	engulfment of apoptotic cell
Sco16g11730.1	high mobility group
Sco17g00660.1	Domain of unknown function (DUF4795)
Sco07g08310.1	Sperm-tail PG-rich repeat containing 3
Sco01g02370.1	Belongs to the protein kinase superfamily
Sco12g14250.1	protein localization to microtubule
Sco19g15160.1	52 kDa repressor of the inhibitor of the protein
Sco12g04230.1	Leptin receptor overlapping transcript-like 1
Sco12g13200.1	Belongs to the AAA ATPase family
Sco11g08750.1	DDE superfamily endonuclease
Sco14g13170.1	serine arginine-rich splicing factor
Sco06g11850.1	-
Sco16g04530.1	Paired Box domain
Sco15g01700.1	tetratricopeptide repeat
Sco12g02310.1	General transcription factor 3C polypeptide 3
Sco17g12200.1	vesicle-mediated transport
Sco06g10570.1	Serine threonine-protein phosphatase Pgam5
Sco06g10570.1	 mitochondrial
Sco16g09980.1	Voltage-gated calcium channel subunit alpha
Sco16g09980.1	 C-term
Sco14g13160.1	protein phosphatase 1 regulatory
Sco03g06530.1	Glutathione S-Transferase
Sco18g06490.1	cell wall polysaccharide biosynthetic process
Sco03g00690.1	calcium ion binding
Sco16g06510.1	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Sco01g09760.1	Ring finger protein 141
Sco01g09570.1	glycerol-3-phosphatase activity
Sco10g04850.1	cellular response to paclitaxel
Sco17g14180.1	RNA binding
Sco02g04560.1	Orange domain
Sco02g02880.1	embryonic skeletal limb joint morphogenesis
Sco08g03510.1	polypeptide N-acetylgalactosaminyltransferase activity
Sco10g03510.1	Putative cyclase
Sco19g06910.1	WASH complex subunit
Sco17g11930.1	Rho (Ras homology) subfamily of Ras-like small GTPases
Sco03g09190.1	protein folding in endoplasmic reticulum
Sco12g07390.1	Putative cyclase
Sco19g10340.1	Lytic transglycolase
Sco02g08010.1	dnaJ homolog subfamily C member
Sco04g08230.1	Disintegrin and metalloproteinase domain-containing protein
Sco18g04360.1	cellular response to calcium ion
Sco14g17070.1	bone development
Sco04g06380.1	polypeptide N-acetylgalactosaminyltransferase activity
Sco11g03500.1	DNA-directed DNA polymerase activity
Sco10g00030.1	EF-hand domain (C-terminal) containing 1
Sco13g10690.1	Serine threonine-protein kinase
Sco19g13080.1	Transposase IS4
Sco07g05140.1	Belongs to the glycosyl hydrolase 47 family
Sco06g03220.1	Catalytic subunit of the SLX1-SLX4 structure-specific endonuclease that resolves DNA secondary structures generated during DNA repair and recombination. Has endonuclease activity towards branched DNA substrates
Sco06g03220.1	 introducing single-strand cuts in duplex DNA close to junctions with ss-DNA. Has a preference for 5'-flap structures
Sco06g03220.1	 and promotes symmetrical cleavage of static and migrating Holliday junctions (HJs). Resolves HJs by generating two pairs of ligatable
Sco06g03220.1	 nicked duplex products
Sco19g16430.1	thymidine phosphorylase activity
Sco19g12660.1	Leukocyte cysteine proteinase inhibitor 1-like
Sco11g05980.1	diacylglycerol binding
Sco14g04760.1	response to other organism
Sco11g06570.1	Neurotransmitter-gated ion-channel transmembrane region
Sco14g03280.1	ADP-specific glucokinase activity
Sco11g08470.1	Jerky protein homolog-like
Sco17g14450.1	Domain in SPla and the RYanodine Receptor.
Sco18g09570.1	-
Sco16g12730.1	acetylglucosaminyltransferase activity
Sco08g03600.1	snRNA processing
Sco13g03100.1	regulation of sterol import
Sco14g00910.1	o-succinylbenzoate-CoA ligase activity
Sco01g06720.1	COG0318 Acyl-CoA synthetases (AMP-forming) AMP-acid ligases II
Sco06g01750.1	Ribonuclease H protein
Sco13g05760.1	Protein tyrosine phosphatase activity. It is involved in the biological process described with mitotic M phase
Sco16g01590.1	Pre-rRNA-processing protein TSR2 homolog
Sco19g12950.1	Transmembrane protein 135
Sco14g07720.1	Zinc finger protein-like 1
Sco11g05290.1	Pyridoxal-phosphate dependent enzyme
Sco02g00310.1	-
Sco01g10260.1	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Sco03g10720.1	cilium assembly
Sco03g08090.1	Transient receptor potential
Sco02g01630.1	guanine deglycation
Sco02g01630.1	 methylglyoxal removal
Sco15g11980.1	regulation of ATP-dependent microtubule motor activity
Sco15g11980.1	 plus-end-directed
Sco03g02740.1	Ras family
Sco17g00040.1	RNA polymerase II CTD heptapeptide repeat kinase activity
Sco08g09260.1	Conserved hypothetical protein
Sco12g12300.1	tctex1 domain-containing protein
Sco17g19450.1	Serpentine type 7TM GPCR chemoreceptor Srw
Sco04g01920.1	It is involved in the biological process described with cell adhesion
Sco01g02510.1	protein destabilization
Sco19g12830.1	aldehyde dehydrogenase (NAD) activity
Sco14g05790.1	cyclin-dependent protein serine/threonine kinase activity
Sco14g05620.1	Ca2+ insensitive EF hand
Sco17g17240.1	Unc-45 homolog
Sco14g06270.1	Protein phosphatase 1
Sco14g06270.1	 regulatory subunit 27
Sco13g13830.1	Belongs to the type-B carboxylesterase lipase family
Sco16g07820.1	maintenance of translational fidelity
Sco17g06340.1	Cdc42 protein signal transduction
Sco13g05080.1	iduronate 2-sulfatase
Sco11g11990.1	Chitin-binding domain type 2
Sco01g08600.1	interacting protein
Sco01g08600.1	 binding protein
Sco19g12070.1	trafficking protein particle complex
Sco01g00860.1	negative regulation of protein localization to centrosome
Sco08g07090.1	agmatinase activity
Sco07g05420.1	nmrA-like family domain-containing protein
Sco13g07030.1	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Sco09g05520.1	Glycosyltransferase that generates the core 1 O-glycan Gal-beta1-3GalNAc-alpha1-Ser Thr (T antigen)
Sco09g05520.1	 which is a precursor for many extended O-glycans in glycoproteins
Sco06g00510.1	It is involved in the biological process described with protein homooligomerization
Sco16g10880.1	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Sco11g04320.1	DDE superfamily endonuclease
Sco02g04010.1	Multicopper oxidase
Sco14g15580.1	Heat shock protein
Sco19g13460.1	Prenyl (decaprenyl) diphosphate synthase
Sco19g13460.1	 subunit 2
Sco16g02660.1	Protein-kinase domain of FAM69
Sco05g03100.1	AT-rich interactive domain-containing protein 5B
Sco14g02410.1	microtubule binding
Sco01g02460.1	Tetraspanin family
Sco14g12680.1	Belongs to the enoyl-CoA hydratase isomerase family
Sco05g02440.1	osteoclast fusion
Sco17g04010.1	rescue of stalled ribosome
Sco13g08790.1	DNA-directed RNA polymerases I and III subunit
Sco14g10260.1	DNA strand elongation involved in nuclear cell cycle DNA replication
Sco14g03080.1	dehydrogenase E1 and transketolase domain containing 1
Sco14g17410.1	protein ubiquitination
Sco09g02960.1	Aldo/keto reductase family
